,DateKey,event_Incident_Prediction_Rolling,MaxDate,DateDiff
338,2018-01-01,0.7,5/15/2018,134
342,2018-01-02,0.1,5/15/2018,133
346,2018-01-03,0.05,5/15/2018,132
350,2018-01-04,0.05,5/15/2018,131
354,2018-01-05,0.05,5/15/2018,130
358,2018-01-06,0.125,5/15/2018,129
361,2018-01-07,0.225,5/15/2018,128
364,2018-01-08,0.3,5/15/2018,127
368,2018-01-09,0.875,5/15/2018,126
372,2018-01-10,1.475,5/15/2018,125
376,2018-01-11,1.925,5/15/2018,124
380,2018-01-12,3.15,5/15/2018,123
384,2018-01-13,3.6,5/15/2018,122
387,2018-01-14,4.05,5/15/2018,121
391,2018-01-15,4.375,5/15/2018,120
395,2018-01-16,4.95,5/15/2018,119
399,2018-01-17,5.9,5/15/2018,118
403,2018-01-18,6,5/15/2018,117
407,2018-01-19,5.825,5/15/2018,116
411,2018-01-20,5.875,5/15/2018,115
415,2018-01-21,5.625,5/15/2018,114
419,2018-01-22,4.75,5/15/2018,113
423,2018-01-23,4.725,5/15/2018,112
427,2018-01-24,4.325,5/15/2018,111
431,2018-01-25,4,5/15/2018,110
435,2018-01-26,3.75,5/15/2018,109
439,2018-01-27,1.525,5/15/2018,108
443,2018-01-28,2.025,5/15/2018,107
447,2018-01-29,3.2,5/15/2018,106
451,2018-01-30,2.95,5/15/2018,105
455,2018-01-31,2.725,5/15/2018,104
459,2018-02-01,2.7,5/15/2018,103
463,2018-02-02,3.075,5/15/2018,102
467,2018-02-03,3.5,5/15/2018,101
471,2018-02-04,3.85,5/15/2018,100
475,2018-02-05,3.8,5/15/2018,99
479,2018-02-06,3.625,5/15/2018,98
483,2018-02-07,3.775,5/15/2018,97
487,2018-02-08,5.1,5/15/2018,96
491,2018-02-09,5.125,5/15/2018,95
495,2018-02-10,4.975,5/15/2018,94
499,2018-02-11,4.9,5/15/2018,93
503,2018-02-12,4.2,5/15/2018,92
507,2018-02-13,4.025,5/15/2018,91
511,2018-02-14,3.675,5/15/2018,90
515,2018-02-15,3.75,5/15/2018,89
519,2018-02-16,3,5/15/2018,88
523,2018-02-17,2.9,5/15/2018,87
527,2018-02-18,2.7,5/15/2018,86
531,2018-02-19,1.8,5/15/2018,85
535,2018-02-20,2.875,5/15/2018,84
539,2018-02-21,3.775,5/15/2018,83
543,2018-02-22,1.35,5/15/2018,82
547,2018-02-23,1.525,5/15/2018,81
551,2018-02-24,0.725,5/15/2018,80
554,2018-02-25,1.375,5/15/2018,79
558,2018-02-26,1.125,5/15/2018,78
562,2018-02-27,1,5/15/2018,77
566,2018-02-28,1.575,5/15/2018,76
570,2018-03-01,2.025,5/15/2018,75
574,2018-03-02,2.4,5/15/2018,74
578,2018-03-03,2.95,5/15/2018,73
582,2018-03-04,4,5/15/2018,72
586,2018-03-05,3.35,5/15/2018,71
590,2018-03-06,3.625,5/15/2018,70
594,2018-03-07,5.55,5/15/2018,69
598,2018-03-08,6.7,5/15/2018,68
602,2018-03-09,6.025,5/15/2018,67
606,2018-03-10,6.025,5/15/2018,66
610,2018-03-11,6.05,5/15/2018,65
614,2018-03-12,5.55,5/15/2018,64
618,2018-03-13,5.7,5/15/2018,63
622,2018-03-14,5.675,5/15/2018,62
626,2018-03-15,6.35,5/15/2018,61
630,2018-03-16,7.725,5/15/2018,60
634,2018-03-17,7.75,5/15/2018,59
638,2018-03-18,7.075,5/15/2018,58
642,2018-03-19,8.225,5/15/2018,57
646,2018-03-20,9.225,5/15/2018,56
650,2018-03-21,7.725,5/15/2018,55
654,2018-03-22,8.575,5/15/2018,54
658,2018-03-23,8.925,5/15/2018,53
662,2018-03-24,10.2,5/15/2018,52
666,2018-03-25,11.125,5/15/2018,51
670,2018-03-26,12.625,5/15/2018,50
674,2018-03-27,12.725,5/15/2018,49
678,2018-03-28,13.55,5/15/2018,48
682,2018-03-29,13.15,5/15/2018,47
686,2018-03-30,13.975,5/15/2018,46
690,2018-03-31,13.25,5/15/2018,45
694,2018-04-01,13,5/15/2018,44
698,2018-04-02,12.9,5/15/2018,43
702,2018-04-03,10.5,5/15/2018,42
