,BusinessUnit,DateKey,Rolling14Forward,Prediction,,,
341,West,2018-01-01,23,22.875,,,
345,West,2018-01-02,24,23.4,,,
349,West,2018-01-03,19,23.425,,,
353,West,2018-01-04,23,22.225,,,
357,West,2018-01-05,21,21.5,,,
360,West,2018-01-06,22,22,,,
363,West,2018-01-07,24,23.95,,,
367,West,2018-01-08,26,24.9,,,
371,West,2018-01-09,25,23.55,,,
375,West,2018-01-10,25,24.8,,,
379,West,2018-01-11,26,26,,,
383,West,2018-01-12,29,28.6,,,
386,West,2018-01-13,30,29.075,,,
390,West,2018-01-14,28,28.625,,,
394,West,2018-01-15,29,28.925,,,
398,West,2018-01-16,32,29.1,,,
402,West,2018-01-17,33,31.65,,,
406,West,2018-01-18,30,29.175,,,
410,West,2018-01-19,29,28,,,
414,West,2018-01-20,28,27.45,,,
418,West,2018-01-21,26,26.4,,,
422,West,2018-01-22,25,26.2,,,
426,West,2018-01-23,26,25.4,,,
430,West,2018-01-24,26,25.075,,,
434,West,2018-01-25,22,23.55,,,
438,West,2018-01-26,17,17.225,,,
442,West,2018-01-27,17,15.375,,,
446,West,2018-01-28,18,15.6,,,
450,West,2018-01-29,19,16.325,,,
454,West,2018-01-30,14,15.225,,,
458,West,2018-01-31,13,15.175,,,
462,West,2018-02-01,13,16.6,,,
466,West,2018-02-02,13,14.775,,,
470,West,2018-02-03,14,14.45,,,
474,West,2018-02-04,14,14.45,,,
478,West,2018-02-05,15,15.825,,,
482,West,2018-02-06,14,16.1,,,
486,West,2018-02-07,18,19.125,,,
490,West,2018-02-08,21,19.8,,,
494,West,2018-02-09,21,19.775,,,
498,West,2018-02-10,20,22.1,,,
502,West,2018-02-11,22,20.575,,,
506,West,2018-02-12,22,20.55,,,
510,West,2018-02-13,24,19.7,,,
514,West,2018-02-14,26,20.3,,,
518,West,2018-02-15,26,25.425,,,
522,West,2018-02-16,27,26.45,,,
526,West,2018-02-17,26,26.45,,,
530,West,2018-02-18,28,27.8,,,
534,West,2018-02-19,30,29.075,,,
538,West,2018-02-20,31,30.125,,,
542,West,2018-02-21,28,30.775,,,
546,West,2018-02-22,25,26.45,,,
550,West,2018-02-23,28,27.725,,,
553,West,2018-02-24,29,28,,,
557,West,2018-02-25,27,27.25,,,
561,West,2018-02-26,26,23.3,,,
565,West,2018-02-27,30,25.725,,,
569,West,2018-02-28,34,29.65,,,
573,West,2018-03-01,39,43.675,,,
577,West,2018-03-02,42,42.575,,,
581,West,2018-03-03,43,44.15,,,
585,West,2018-03-04,44,43.325,,,
589,West,2018-03-05,43,37.85,,,
593,West,2018-03-06,51,41.575,,,
597,West,2018-03-07,53,49.375,,,
601,West,2018-03-08,53,52.3,,,
605,West,2018-03-09,54,47.725,,,
609,West,2018-03-10,54,50.75,,,
613,West,2018-03-11,53,50.325,,,
617,West,2018-03-12,54,51.05,,,
621,West,2018-03-13,54,48.8,,,
625,West,2018-03-14,51,49.8,,,
629,West,2018-03-15,47,45.375,,,
633,West,2018-03-16,43,42.65,,,
637,West,2018-03-17,42,41.625,,,
641,West,2018-03-18,39,40.425,,,
645,West,2018-03-19,37,37.425,,,
649,West,2018-03-20,33,37.6,,,
653,West,2018-03-21,34,34.875,,,
657,West,2018-03-22,36,34.575,,,
661,West,2018-03-23,33,33.725,,,
665,West,2018-03-24,33,33.3,,,
669,West,2018-03-25,33,33.725,,,
673,West,2018-03-26,37,35.575,,,
677,West,2018-03-27,32,36.925,,,
681,West,2018-03-28,33,36.9,,,
685,West,2018-03-29,42,41.95,,,
689,West,2018-03-30,49,44.875,,,
693,West,2018-03-31,50,46.45,,,
697,West,2018-04-01,50,47.95,,,
701,West,2018-04-02,52,49.225,,,
705,West,2018-04-03,51,50.125,,,
709,West,2018-04-04,47,47.25,,,
713,West,2018-04-05,50,49.2,,,
717,West,2018-04-06,52,50,,,
721,West,2018-04-07,54,48.175,,,
725,West,2018-04-08,54,51.175,,,
729,West,2018-04-09,51,50.3,,,
733,West,2018-04-10,50,45.425,,,
737,West,2018-04-11,47,48.4,,,
741,West,2018-04-12,40,47.85,,,
745,West,2018-04-13,36,38.15,,,
749,West,2018-04-14,35,34.675,,,
753,West,2018-04-15,35,33.625,,,
757,West,2018-04-16,31,29.125,,,
761,West,2018-04-17,27,27.075,,,
765,West,2018-04-18,27,25.45,,,
769,West,2018-04-19,23,24.9,,,
773,West,2018-04-20,22,23.975,,,
777,West,2018-04-21,20,23.225,,,
781,West,2018-04-22,20,20.65,,,
785,West,2018-04-23,19,19.225,,,
789,West,2018-04-24,19,19.925,,,
793,West,2018-04-25,19,21.35,,,
797,West,2018-04-26,17,26.85,,,
801,West,2018-04-27,14,27.5,,,
805,West,2018-04-28,15,20.825,,,
809,West,2018-04-29,16,16.7,,,
813,West,2018-04-30,17,18.125,,,
817,West,2018-05-01,18,18.875,,,
821,West,2018-05-02,18,18.025,,,
825,West,2018-05-03,20,21.225,,,
829,West,2018-05-04,19,21.025,,,
833,West,2018-05-05,20,20.325,,,
837,West,2018-05-06,21,21.125,,,
841,West,2018-05-07,23,21.875,,,
845,West,2018-05-08,23,22.375,,,
849,West,2018-05-09,23,22.525,,,
853,West,2018-05-10,23,22.325,,,
857,West,2018-05-11,24,21.225,,,
860,West,2018-05-12,23,23.15,,,
864,West,2018-05-13,22,21.775,,,
868,West,2018-05-14,21,20.7,,,
872,West,2018-05-15,20,20.925,,,
876,West,2018-05-16,18,19.375,,,
880,West,2018-05-17,14,15.425,,,
884,West,2018-05-18,13,14.025,,,
888,West,2018-05-19,11,14.025,,,
892,West,2018-05-20,12,13.3,,,
896,West,2018-05-21,9,12.85,,,
900,West,2018-05-22,12,13.2,,,
904,West,2018-05-23,13,13.45,,,
